run_name,path,bytes,reason
masc_official_smoke,outputs/masc_official_smoke,444682087,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_self15,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_self15,21601991,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_latesched,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_latesched,21601957,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched,21601904,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self20,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self20,21601807,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self15,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self15,21601793,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep055_fr020_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep055_fr020_kd060_t2,21601764,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t1,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t1,21601760,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3,21601755,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep065_fr020_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep065_fr020_kd060_t2,21601747,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd070_t3,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd070_t3,21601746,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t4,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t4,21601729,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd060_t2,21601716,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060,21601714,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep050_fr020_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep050_fr020_kd050,21601706,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd050,21601706,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr015_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr015_kd050,21601702,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr030_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr030_kd060_t2,21601700,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc10_ep125_fr020_kd050,outputs/cifar100_4agent_25cls_joint_tuning_ipc10_ep125_fr020_kd050,21601610,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd040,outputs/cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd040,21601595,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_ipc10_ep090_fr020_kd050,outputs/cifar100_4agent_25cls_refine_tuning_ipc10_ep090_fr020_kd050,21601589,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd060,outputs/cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd060,21601556,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_C_ep250_fr020_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_C_ep250_fr020_kd050,21601111,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500,21601110,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200,outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200,21601109,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_E_ep200_fr015_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_E_ep200_fr015_kd050,21601083,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep500,21601074,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr020_kd050_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr020_kd050_ep500,21601070,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr050_kd050_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr050_kd050_ep500,21601069,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_G_ep200_fr020_kd060,outputs/cifar100_4agent_25cls_conv_family_tuning_G_ep200_fr020_kd060,21601065,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_B_ep150_fr020_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_B_ep150_fr020_kd050,21601055,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_H_ep200_fr020_kd075,outputs/cifar100_4agent_25cls_conv_family_tuning_H_ep200_fr020_kd075,21601055,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_D_ep300_fr020_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_D_ep300_fr020_kd050,21601033,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_F_ep200_fr025_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_F_ep200_fr025_kd050,21601020,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr020_kd025_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr020_kd025_ep500,21601018,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr020_kd050_t3_ms,outputs/cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr020_kd050_t3_ms,7520,non-best tuning/smoke/intermediate run; review before deleting artifacts
